timestamp,battery_percent,cpu_pct,screen_on,drain_per_min,minutes_remaining_target
2025-12-03 19:32:40.096212,94.843,11.58,0,0.1572,313
2025-12-03 19:33:40.096227,94.678,29.61,0,0.1648,312
2025-12-03 19:34:40.096231,94.024,33.42,1,0.6538,310
2025-12-03 19:35:40.096234,93.848,22.19,0,0.1763,310
2025-12-03 19:36:40.096237,93.256,9.29,1,0.5918,308
2025-12-03 19:37:40.096241,93.083,40.05,0,0.1732,308
2025-12-03 19:38:40.096244,92.948,14.99,0,0.135,307
2025-12-03 19:39:40.096247,92.809,8.78,0,0.1394,306
2025-12-03 19:40:40.096250,92.142,26.77,1,0.6667,304
2025-12-03 19:41:40.096254,92.027,3.68,0,0.1148,304
2025-12-03 19:42:40.096257,91.906,10.73,0,0.1212,303
2025-12-03 19:43:40.096260,91.287,24.06,1,0.6187,301
2025-12-03 19:44:40.096263,90.683,21.21,1,0.6044,300
2025-12-03 19:45:40.096266,90.529,10.92,0,0.1536,300
2025-12-03 19:46:40.096269,90.365,8.8,0,0.1645,299
2025-12-03 19:47:40.096272,90.217,26.79,0,0.148,298
2025-12-03 19:48:40.096275,89.595,22.62,1,0.622,296
2025-12-03 19:49:40.096279,88.943,36.62,1,0.6521,295
2025-12-03 19:50:40.096282,88.766,21.44,0,0.1765,295
2025-12-03 19:51:40.096287,88.157,17.68,1,0.6092,293
2025-12-03 19:52:40.096290,88.009,20.4,0,0.1475,293
2025-12-03 19:53:40.096293,87.397,15.15,1,0.6126,291
2025-12-03 19:54:40.096297,87.233,23.41,0,0.1639,291
2025-12-03 19:55:40.096300,87.094,0.0,0,0.139,290
2025-12-03 19:56:40.096303,86.938,30.88,0,0.1557,289
2025-12-03 19:57:40.096307,86.353,7.65,1,0.585,287
2025-12-03 19:58:40.096310,86.25,5.04,0,0.103,288
2025-12-03 19:59:40.096313,85.659,20.32,1,0.5911,285
2025-12-03 20:00:40.096317,85.46,18.61,0,0.1988,285
2025-12-03 20:01:40.096320,85.278,12.54,0,0.182,284
2025-12-03 20:02:40.096323,85.134,8.18,0,0.1447,283
2025-12-03 20:03:40.096326,85.006,14.32,0,0.1275,282
